,Team,Offensive Efficiency,Effective Field Goal %,True Shooting %,Total Rebounding %,Block %,Assist/Turnover Ratio,Defensive Efficiency,Win %,Last 10 Rating,Strength of Schedule,Year
1792,Syracuse,0.6629526462395545,0.6040609137055837,0.6481994459833791,0.3896103896103895,0.5978260869565215,0.5521235521235521,-0.5522875816993462,0.5863495346432265,0.7375231053604435,0.8588709677419355,2017
1793,Maryland BC,0.6573816155988861,0.6497461928934007,0.7036011080332409,0.3441558441558441,0.16304347826086946,0.5019305019305019,-0.6666666666666665,0.6132368148914168,0.44362292051756,0.3185483870967742,2017
1794,USC,0.6545961002785514,0.5431472081218272,0.6094182825484764,0.48051948051948035,0.652173913043478,0.5861003861003861,-0.5555555555555554,0.7487073422957601,0.6340110905730129,0.721774193548387,2017
1795,Baylor,0.6518105849582176,0.5939086294416245,0.6260387811634347,0.8181818181818183,0.6956521739130435,0.45405405405405397,-0.32679738562091476,0.8200620475698036,0.7855822550831792,0.9556451612903225,2017
1796,S Dakota St,0.6462395543175488,0.6598984771573604,0.7590027700831024,0.4220779220779223,0.11956521739130432,0.37297297297297294,-0.8398692810457518,0.46328852119958636,0.598890942698706,0.4475806451612903,2017
1797,Murray St,0.6462395543175488,0.5279187817258881,0.5844875346260388,0.4545454545454546,0.09782608695652167,0.43243243243243235,-0.6960784313725492,0.44364012409513964,0.39001848428835484,0.36693548387096775,2017
1798,Toledo,0.6462395543175488,0.7005076142131976,0.7202216066481992,0.616883116883117,0.16304347826086946,0.4741312741312741,-0.6764705882352944,0.49948293691830403,0.543438077634011,0.49193548387096775,2017
1799,Clemson,0.6434540389972145,0.5279187817258881,0.5734072022160666,0.38311688311688297,0.47826086956521724,0.4679536679536679,-0.6111111111111112,0.5170630816959669,0.6950092421441774,0.9112903225806452,2017
1800,E Tenn St,0.6406685236768803,0.7766497461928932,0.8005540166204983,0.6298701298701297,0.5978260869565215,0.3250965250965251,-0.2908496732026147,0.7849017580144778,0.5970425138632162,0.46370967741935487,2017
1801,Iona,0.6406685236768803,0.6294416243654819,0.6731301939058172,0.38311688311688297,0.217391304347826,0.5536679536679536,-0.594771241830065,0.6339193381592555,0.5360443622920517,0.46370967741935487,2017
1802,Denver,0.6378830083565457,0.7106598984771573,0.7534626038781163,0.6688311688311686,0.11956521739130432,0.4378378378378379,-0.6797385620915031,0.5708376421923476,0.44547134935304983,0.4153225806451613,2017
1803,LA Lafayette,0.6378830083565457,0.532994923857868,0.5678670360110805,0.6818181818181821,0.19565217391304346,0.40231660231660227,-0.630718954248366,0.6132368148914168,0.44362292051756,0.4314516129032258,2017
1804,Lipscomb,0.6350974930362119,0.7157360406091371,0.7783933518005539,0.3896103896103895,0.27173913043478254,0.44015444015444005,-0.6111111111111112,0.6059979317476732,0.5896487985212568,0.3870967741935484,2017
1805,Rice,0.6323119777158772,0.6802030456852788,0.7534626038781163,0.5649350649350646,0.4021739130434781,0.27567567567567575,-0.4934640522875817,0.6897621509824199,0.47319778188539735,0.35080645161290325,2017
1806,Wofford,0.6295264623955434,0.578680203045685,0.6537396121883656,0.4025974025974022,0.07608695652173908,0.5567567567567567,-0.7352941176470589,0.44364012409513964,0.476894639556377,0.43951612903225806,2017
1807,Canisius,0.6267409470752088,0.6192893401015227,0.6537396121883656,0.3246753246753249,0.07608695652173908,0.5992277992277993,-0.7026143790849675,0.5667011375387798,0.44177449168207017,0.4274193548387097,2017
1808,Oakland,0.623955431754875,0.5076142131979693,0.7257617728531858,0.5064935064935066,0.5869565217391304,0.47799227799227806,-0.3856209150326797,0.7849017580144778,0.5970425138632162,0.40322580645161293,2017
1809,La Salle,0.6211699164345403,0.6548223350253806,0.750692520775623,0.39610389610389607,0.14130434782608692,0.42779922779922785,-0.761437908496732,0.5367114788004137,0.46580406654343803,0.6008064516129032,2017
1810,Marshall,0.6183844011142066,0.6446700507614214,0.7036011080332409,0.22727272727272751,0.33695652173913043,0.5289575289575289,-0.6993464052287579,0.5542916235780766,0.44177449168207017,0.4838709677419355,2017
1811,Samford,0.6183844011142066,0.6243654822335021,0.7146814404432131,0.4545454545454546,0.11956521739130432,0.47490347490347495,-0.6470588235294112,0.5346432264736298,0.421441774491682,0.36693548387096775,2017
1812,Furman,0.6183844011142066,0.7563451776649743,0.7590027700831024,0.49350649350649345,0.19565217391304346,0.42471042471042486,-0.45751633986928075,0.6773526370217167,0.55452865064695,0.43951612903225806,2017
1813,Albany,0.6128133704735377,0.5279187817258881,0.595567867036011,0.7662337662337659,0.04347826086956519,0.37451737451737444,-0.5196078431372548,0.6204756980351603,0.521256931608133,0.3911290322580645,2017
1814,Bucknell,0.6128133704735377,0.7411167512690353,0.7451523545706369,0.5129870129870131,0.4021739130434781,0.3830115830115831,-0.3366013071895422,0.7673216132368149,0.6672828096118298,0.45161290322580644,2017
1815,Dayton,0.6128133704735377,0.6649746192893398,0.709141274238227,0.46753246753246724,0.5108695652173911,0.5714285714285715,-0.2450980392156863,0.8428128231644261,0.7319778188539741,0.6532258064516129,2017
