,Team,Strength of Schedule,Year
2764,C Connecticut,0.23897058823529413,2019
2765,SIU Edward,0.23897058823529413,2019
2766,Mt St Mary's,0.23161764705882354,2019
2767,New Hampshire,0.22426470588235292,2019
2768,Stetson,0.22426470588235292,2019
2769,Norfolk St,0.22058823529411764,2019
2770,SF Austin,0.21323529411764708,2019
2771,SC Upstate,0.21323529411764708,2019
2772,Nicholls,0.2095588235294118,2019
2773,AR-Pine Bluff,0.2095588235294118,2019
2774,NC Asheville,0.2095588235294118,2019
2775,Chicago St,0.2095588235294118,2019
2776,New Orleans,0.20588235294117646,2019
2777,Idaho,0.20220588235294118,2019
2778,Longwood,0.1985294117647059,2019
2779,McNeese,0.19485294117647062,2019
2780,Grambling,0.17647058823529416,2019
2781,Florida A&M,0.17279411764705882,2019
2782,Bethune,0.16911764705882354,2019
2783,Alabama A&M,0.16911764705882354,2019
2784,Jackson St,0.16544117647058826,2019
2785,Coppin St,0.1580882352941177,2019
2786,NW State,0.15441176470588236,2019
2787,Southern,0.15441176470588236,2019
2788,Alabama St,0.15073529411764708,2019
2789,Miss Valley St,0.1470588235294118,2019
2790,S Carolina St,0.1470588235294118,2019
2791,Howard,0.14338235294117652,2019
2792,NC A&T,0.13970588235294124,2019
2793,NC Central,0.13602941176470584,2019
2794,Incarnate Word,0.13602941176470584,2019
2795,Savannah St,0.1139705882352941,2019
2796,Morgan St,0.10661764705882354,2019
2797,Maryland ES,0.0845588235294118,2019
2798,Delaware St,0.02941176470588236,2019
2799,Alcorn St,0.0,2019
2800,Iowa,1.0,2021
2801,Penn St,0.9963768115942029,2021
2802,Indiana,0.9818840579710145,2021
2803,Kansas,0.9818840579710145,2021
2804,Illinois,0.9746376811594204,2021
2805,Ohio St,0.9746376811594204,2021
2806,Rutgers,0.9710144927536233,2021
2807,Michigan,0.963768115942029,2021
2808,Northwestern,0.9601449275362319,2021
2809,Kentucky,0.9528985507246377,2021
2810,Wisconsin,0.9528985507246377,2021
2811,Texas,0.9528985507246377,2021
2812,West Virginia,0.9492753623188406,2021
2813,Purdue,0.9456521739130435,2021
2814,Texas Tech,0.927536231884058,2021
2815,Baylor,0.927536231884058,2021
2816,Minnesota,0.9239130434782609,2021
2817,Maryland,0.9239130434782609,2021
2818,Michigan St,0.9166666666666667,2021
2819,Clemson,0.9130434782608696,2021
2820,Alabama,0.9130434782608696,2021
2821,Oklahoma,0.9094202898550725,2021
2822,North Carolina,0.9057971014492754,2021
2823,Florida,0.9021739130434783,2021
2824,Seton Hall,0.894927536231884,2021
2825,Missouri,0.894927536231884,2021
2826,Virginia,0.8913043478260869,2021
2827,Notre Dame,0.8913043478260869,2021
2828,Florida St,0.8913043478260869,2021
2829,Marquette,0.8876811594202898,2021
2830,Oklahoma St,0.8876811594202898,2021
2831,Villanova,0.8876811594202898,2021
2832,Louisville,0.8840579710144928,2021
2833,Providence,0.8804347826086957,2021
2834,UConn,0.8804347826086957,2021
2835,Gonzaga,0.8768115942028986,2021
2836,Creighton,0.8768115942028986,2021
2837,Georgia Tech,0.8768115942028986,2021
2838,LSU,0.8731884057971014,2021
2839,Tennessee,0.8695652173913044,2021
2840,Duke,0.8695652173913044,2021
2841,Butler,0.8623188405797102,2021
2842,Nebraska,0.8623188405797102,2021
2843,Arkansas,0.8586956521739131,2021
2844,Georgetown,0.8586956521739131,2021
2845,Iowa St,0.855072463768116,2021
2846,Auburn,0.855072463768116,2021
2847,South Carolina,0.8514492753623188,2021
2848,Colorado,0.8442028985507246,2021
2849,UCLA,0.8405797101449275,2021
2850,Boston College,0.8369565217391304,2021
2851,Stanford,0.8369565217391304,2021
2852,USC,0.8297101449275363,2021
2853,DePaul,0.8297101449275363,2021
2854,Utah,0.8260869565217392,2021
2855,Washington,0.822463768115942,2021
2856,Syracuse,0.8188405797101449,2021
2857,St John's,0.8188405797101449,2021
2858,Xavier,0.8188405797101449,2021
2859,Oregon,0.8152173913043479,2021
2860,Pittsburgh,0.8152173913043479,2021
2861,NC State,0.8079710144927537,2021
2862,Mississippi St,0.8043478260869565,2021
2863,Arizona St,0.8007246376811594,2021
2864,Mississippi,0.8007246376811594,2021
2865,Virginia Tech,0.8007246376811594,2021
2866,UCF,0.8007246376811594,2021
2867,Arizona,0.8007246376811594,2021
2868,Vanderbilt,0.7971014492753623,2021
2869,Miami,0.7934782608695652,2021
2870,BYU,0.786231884057971,2021
2871,Wake Forest,0.7789855072463768,2021
2872,TCU,0.7717391304347826,2021
2873,Georgia,0.7717391304347826,2021
2874,SMU,0.7536231884057971,2021
2875,Oregon St,0.7536231884057971,2021
2876,Kansas St,0.7536231884057971,2021
2877,Houston,0.75,2021
2878,Richmond,0.75,2021
2879,Rhode Island,0.7427536231884058,2021
2880,Cincinnati,0.7391304347826088,2021
2881,VCU,0.7391304347826088,2021
2882,California,0.7391304347826088,2021
2883,Wichita St,0.7355072463768115,2021
2884,Washington St,0.7318840579710145,2021
2885,St Bonaventure,0.7246376811594203,2021
2886,Saint Mary's,0.7210144927536232,2021
2887,San Diego St,0.7210144927536232,2021
2888,Saint Joseph's,0.713768115942029,2021
2889,Temple,0.7065217391304348,2021
2890,Boise St,0.7028985507246377,2021
2891,Tulsa,0.6992753623188406,2021
2892,Dayton,0.6920289855072463,2021
2893,Saint Louis,0.6920289855072463,2021
2894,Texas A&M,0.6884057971014492,2021
2895,Memphis,0.6884057971014492,2021
2896,Davidson,0.6811594202898551,2021
2897,Utah St,0.6811594202898551,2021
2898,San Francisco,0.6702898550724637,2021
2899,W Kentucky,0.6666666666666666,2021
2900,Colorado St,0.6557971014492754,2021
2901,N Texas,0.6485507246376812,2021
2902,S Florida,0.6485507246376812,2021
2903,Pepperdine,0.6413043478260869,2021
2904,Loyola Mymt,0.6376811594202899,2021
2905,Duquesne,0.6376811594202899,2021
2906,Loyola Chi,0.6304347826086957,2021
2907,Pacific,0.6231884057971014,2021
2908,Fordham,0.6195652173913043,2021
2909,Marshall,0.6195652173913043,2021
2910,Nevada,0.6086956521739131,2021
2911,La Salle,0.605072463768116,2021
2912,Tulane,0.6014492753623188,2021
2913,Toledo,0.5942028985507246,2021
2914,Indiana St,0.5905797101449275,2021
2915,San Diego,0.5905797101449275,2021
2916,N Iowa,0.5869565217391305,2021
2917,E Carolina,0.5833333333333334,2021
2918,Louisiana Tech,0.5760869565217391,2021
2919,Northeastern,0.5760869565217391,2021
2920,UMass,0.5760869565217391,2021
2921,Bradley,0.572463768115942,2021
2922,George Mason,0.5652173913043478,2021
2923,UNLV,0.5579710144927537,2021
2924,Bowling Green,0.5543478260869565,2021
2925,Ball St,0.5434782608695652,2021
2926,Kent St,0.5362318840579711,2021
2927,Missouri St,0.5362318840579711,2021
2928,Valparaiso,0.5362318840579711,2021
2929,Drake,0.5362318840579711,2021
2930,Santa Clara,0.5362318840579711,2021
2931,E Tennessee St,0.532608695652174,2021
2932,Illinois St,0.5289855072463768,2021
2933,Evansville,0.5289855072463768,2021
2934,Ohio,0.5289855072463768,2021
2935,Buffalo,0.5253623188405797,2021
2936,S Dakota St,0.5253623188405797,2021
2937,Furman,0.5181159420289855,2021
2938,Wofford,0.5181159420289855,2021
2939,S Illinois,0.5181159420289855,2021
2940,UTEP,0.5144927536231884,2021
2941,Akron,0.5108695652173914,2021
2942,UC Irvine,0.5036231884057971,2021
2943,Old Dominion,0.5036231884057971,2021
2944,E Washington,0.4963768115942029,2021
2945,W Michigan,0.4963768115942029,2021
2946,G Washington,0.4963768115942029,2021
2947,N Dakota St,0.4927536231884058,2021
2948,Wyoming,0.4927536231884058,2021
2949,NC Greensboro,0.4891304347826087,2021
2950,UTSA,0.4855072463768116,2021
2951,Hofstra,0.4855072463768116,2021
2952,UCSB,0.4855072463768116,2021
2953,Oakland,0.4782608695652174,2021
2954,Fresno St,0.4782608695652174,2021
2955,Miami OH,0.4782608695652174,2021
2956,UC Riverside,0.4782608695652174,2021
2957,Air Force,0.4746376811594203,2021
2958,Middle Tenn,0.4746376811594203,2021
2959,Mercer,0.46739130434782605,2021
2960,Towson,0.46739130434782605,2021
2961,Rice,0.4565217391304348,2021
2962,Charlotte,0.4528985507246377,2021
2963,South Dakota,0.4528985507246377,2021
2964,Oral Roberts,0.4528985507246377,2021
2965,Georgia St,0.4492753623188406,2021
2966,Army,0.44565217391304346,2021
2967,VMI,0.4420289855072464,2021
2968,Chattanooga,0.4420289855072464,2021
2969,Montana,0.4384057971014493,2021
2970,W Carolina,0.43478260869565216,2021
2971,CS Bakersfield,0.43478260869565216,2021
2972,Little Rock,0.4311594202898551,2021
2973,Southern Miss,0.4311594202898551,2021
2974,American,0.4311594202898551,2021
2975,William & Mary,0.427536231884058,2021
2976,N Illinois,0.427536231884058,2021
2977,UAB,0.427536231884058,2021
2978,UL Monroe,0.42391304347826086,2021
2979,UMass Lowell,0.42391304347826086,2021
2980,Cleveland St,0.42391304347826086,2021
2981,Drexel,0.42391304347826086,2021
2982,North Dakota,0.42028985507246375,2021
2983,Omaha,0.41666666666666663,2021
2984,Wright St,0.41666666666666663,2021
2985,Maine,0.41304347826086957,2021
2986,Morehead St,0.41304347826086957,2021
2987,Detroit Mercy,0.41304347826086957,2021
2988,Sam Houston,0.40942028985507245,2021
2989,Boston U,0.40942028985507245,2021
2990,Tenn Tech,0.40942028985507245,2021
2991,UT Arlington,0.40942028985507245,2021
